99,198,125,68,73
103,199,80,44,39
106,199,84,48,43
101,198,129,72,77
108,199,87,51,46
81,130,199,71,49
111,199,90,56,50
113,199,93,60,54
55,84,199,87,74
84,132,199,75,55
91,199,162,84,70
62,70,144,199,72
68,93,199,164,88
96,199,166,91,74
47,61,137,199,58
43,49,85,200,82
48,54,106,199,68
92,199,77,44,32
48,71,198,112,51
116,200,60,36,33
92,199,74,38,37
54,93,200,74,47
48,66,177,146,53
95,199,80,48,35
65,127,199,58,41
67,130,199,61,45
69,132,199,65,48
46,51,87,200,92
97,199,87,56,39
95,199,77,42,41
79,198,97,59,45
99,199,90,59,46
63,95,200,79,50
51,57,114,199,81
82,198,101,63,52
66,149,196,51,36
102,199,93,61,54
74,134,199,71,60
54,59,116,199,86
57,63,147,199,68
104,199,97,68,58
85,198,103,66,62
80,146,199,64,42
87,198,106,69,58
107,199,100,71,65
60,66,149,199,73
53,77,177,146,65
101,198,87,42,31
112,199,103,74,69
114,199,106,77,73
118,200,65,42,37
121,200,68,46,41
116,199,109,81,77
123,200,71,49,45
79,139,199,77,73
125,200,74,52,49
128,200,77,56,53
58,106,199,97,51
81,141,199,81,76
91,198,112,72,66
61,64,119,199,96
64,68,153,199,77
93,198,116,75,70
46,56,108,199,66
41,45,71,199,101
46,50,85,200,82
87,198,82,37,29
47,65,173,150,54
111,200,56,35,34
56,95,200,77,43
48,63,134,199,60
112,200,60,33,29
71,125,199,60,38
74,127,199,63,41
76,130,199,66,45
44,47,75,199,108
114,200,63,36,33
116,200,73,38,38
96,199,74,48,40
116,200,67,47,40
69,100,200,84,46
49,53,90,200,90
101,199,77,51,47
73,197,127,54,38
118,200,70,50,48
81,132,199,72,48
52,55,94,200,93
57,59,120,199,82
123,200,76,54,52
106,199,79,53,58
88,149,191,58,46
108,199,83,56,63
125,200,79,57,64
60,62,127,199,91
57,71,198,120,50
88,198,89,41,43
131,200,84,60,68
133,200,87,63,72
141,199,55,36,30
153,199,58,39,34
136,200,90,66,76
156,199,61,42,38
86,140,199,75,51
160,199,65,45,42
163,199,68,48,46
51,85,199,87,49
88,145,199,78,55
111,199,86,60,69
60,59,100,200,97
65,64,137,199,101
113,199,98,63,73
44,50,87,200,81
39,41,60,198,134
44,48,71,199,101
47,70,198,116,56
139,199,44,30,26
56,93,200,77,43
50,54,108,199,68
70,131,199,53,42
73,133,199,55,46
75,135,199,60,49
42,43,65,198,137
141,199,48,31,30
148,199,50,40,30
144,199,50,38,38
65,99,200,81,50
39,45,81,200,90
113,200,69,46,45
77,154,178,47,34
146,199,53,45,46
80,140,199,63,52
47,50,73,199,111
52,53,92,200,86
148,199,56,48,50
116,200,71,54,55
70,154,178,60,48
117,200,75,58,60
151,199,60,52,60
55,55,94,200,90
50,87,199,105,54
94,198,70,46,51
153,199,63,61,64
156,199,66,64,68
178,133,42,32,23
181,136,58,36,27
158,199,70,68,72
184,139,61,39,31
83,142,199,66,55
187,142,64,42,35
190,145,67,45,39
55,83,199,88,66
85,144,199,68,59
120,200,78,62,65
55,52,75,199,117
60,57,99,200,93
122,200,81,65,69
42,46,73,199,99
37,37,50,139,189
42,44,60,198,134
46,63,170,154,55
54,96,200,74,43
49,53,85,200,86
69,127,199,50,37
71,130,199,53,41
74,132,199,56,45
40,39,53,142,192
178,132,39,24,23
63,99,200,77,46
40,40,69,200,99
77,199,116,62,33
181,135,41,33,30
79,137,199,60,52
45,49,62,198,143
51,49,86,199,106
